train_no,train_name,from_station_id,to_station_id,departure,arrival,max_speed,division
MUM201,Mumbai Express 1,MUM02,MUM08,17:10,20:14,90,mumbai
MUM202,Mumbai Express 2,MUM01,MUM06,14:10,18:32,90,mumbai
MUM203,Mumbai Express 3,MUM03,MUM07,17:40,00:34,110,mumbai
MUM204,Mumbai Express 4,MUM06,MUM09,06:50,11:45,90,mumbai
MUM205,Mumbai Express 5,MUM11,MUM15,08:40,11:39,100,mumbai
MUM206,Mumbai Express 6,MUM10,MUM15,08:40,14:01,80,mumbai
MUM207,Mumbai Express 7,MUM05,MUM11,05:25,13:14,120,mumbai
MUM208,Mumbai Express 8,MUM09,MUM12,06:10,10:20,80,mumbai
MUM209,Mumbai Express 9,MUM05,MUM11,15:30,19:07,110,mumbai
MUM210,Mumbai Express 10,MUM10,MUM15,13:55,19:07,110,mumbai
MUM211,Mumbai Express 11,MUM01,MUM06,18:00,20:52,100,mumbai
MUM212,Mumbai Express 12,MUM03,MUM06,06:00,07:56,120,mumbai
MUM213,Mumbai Express 13,MUM04,MUM10,19:10,22:29,100,mumbai
MUM214,Mumbai Express 14,MUM04,MUM09,14:30,16:08,120,mumbai
MUM215,Mumbai Express 15,MUM05,MUM10,05:30,08:07,90,mumbai
MUM216,Mumbai Express 16,MUM02,MUM06,13:15,17:05,110,mumbai
